-10,-14,-18,-2,-22,-26,-30,-34,-38,-42,-46,-50,-6,anode_voltage,tube_ID,tube_type
39.155,29.463,23.132,91.783,18.289,14.559,11.678,9.485,7.82,6.52,5.514,4.786,58.719,325,43,5749
